v1,i1,v2,i2,v3,i3
-0.407,0,-0.425,0,-0.469,0
-0.307,0.007,-0.325,0.005,-0.369,0.003
-0.207,0.03,-0.225,0.021,-0.269,0.011
-0.107,0.081,-0.125,0.062,-0.169,0.039
-0.007,0.153,-0.025,0.131,-0.069,0.093
0,0.16,0,0.15,0,0.144
